appid,recommendationid,review_text,voted_up,timestamp_created,votes_up,votes_funny,weighted_vote_score,comment_count,playtime_at_review_minutes,playtime_forever_minutes,steamid
1151380,211734180,the game is pretty good but it would be much more fun with a sandbox mode,True,1764448306,0,0,0.5,0,35,39,76561199802415598
1151380,210934291,"So glad I get to be one of the first people to post a review on here and also a little bit concerned that there aren’t more reviews. I feel like this is a legit game that should be blowing up right now.

Look, the game has its issues and it’s in early access so it’s got a lot of unfinished content and a few bugs and glitches sure. But for the most part this game is great.

I mainly give it a thumbs up because it does what it sets out to do. A cowboy simulator that actually makes you feel immersed and feel like you’re accurately simulating being a cowboy on the frontier. Or at least a settler on the frontier.

Regardless the game has an overabundance of positives in comparison to its negatives therefore it gets a nice big thumbs up from me.

Just briefly, the game has great gameplay, great sound design, great premise, tons of content, it all flows and works well and feels comfortable and cohesive. It’s open ended, open world, with quests, jobs, gunslinging, cattle wrestling, farming, building, crafting, cooking, dialogue options, reputation, horse riding, trapping. I think the only thing missing is relationships and fishing.

They add those in and fix its stability issues and this game is gonna be awesome.

I really liked it, and couldn’t really think of much to say negatively against it. Even that price tag is super affordable and you’re NOT getting ripped off. I think the biggest negative going against it is simple, it’s unfinished. That’s it. Otherwise it’s hard to think of anything bad about the game to make mention of.

But if you’d like a more in-depth look at the game with gameplay and more information I’d encourage you to check out the review on my YouTube Channel (link below).

https://www.youtube.com/watch?v=b6RAfhvSWCI

Otherwise, thanks so much for reading and I hope I managed to help some of you out there spend your money wisely.",True,1764177982,2,0,0.448026120662689209,0,105,105,76561198005261722
1151380,212397097,Got to say they are off to a really good start with this game yes lots of stuff still to come and a few bugs not come across any game breaking ones mostly knife not being in hand when equipped and floating town folk text in sky.,True,1764672393,1,0,0.523809552192687988,0,335,335,76561197964476503
1151380,211860597,NICE,True,1764501365,0,0,0.5,0,346,3052,76561198353869845
1151380,211160680,"Imagine you've just finished Red Dead Redemption 2, and as John, you've started building your own ranch and embracing the cowboy lifestyle. But as it is not just a simulator, it is not just a simple and boring life. You have to fight bandits and protect your livestock. You can customise almost everything on your ranch. It's in early access, but it's a smooth, finished game that will make you feel like you're really in the Wild West.",True,1764249033,3,0,0.523809552192687988,0,207,575,76561198121827848
1151380,211240194,Woow this is very well done & a lot of different things to do ... feels like a real cowboy life out the old Western movies ... lol.  Keep on going with bringing the good stuff and enjoy the making like we enjoy the playing your very good game :P,True,1764268724,2,0,0.546436309814453125,0,237,1064,76561198279128415
1151380,212377737,"I have only personally played 4 hours, and I usually wait until I have 20 or more hours to leave a review, but I have watch hours of game play and am loving the game.    The story and game immersion is amazing, and there is always something to do .  Building is fun, and with the bandits, animals and other things in the wild west, it adds the challenge to the game for survival.  I am so excited to see what more they add to the game.  Well worth the purchase, even in early access.",True,1764641077,4,0,0.5388755202293396,0,276,276,76561199476913450
1151380,211214247,so far all good 8D,True,1764262763,0,0,0.5,0,199,2213,76561199246161082
1151380,210942448,So far enjoying it and the graphics are beautiful and xbox controller works well 10 out of 10,True,1764179795,2,0,0.495867788791656494,0,17,115,76561199075141060
1151380,211105978,"So far it is a fun game runs ok no crashes and plenty to do,Lets hope the Devs are decent and dont abandone it but so far so good hopefully alot more to come.",True,1764232911,1,0,0.49995306134223938,0,96,274,76561198008751626
1151380,211175192,game is super fun i played demo while back i loved it now its  EA AWESOME   if you want to play a authentic cowboy game this one is it :),True,1764253132,3,0,0.529780566692352295,0,96,163,76561198071824858
1151380,211693235,Its ok game story is good the jibbish language not necessary just the text would be enough.,True,1764436025,0,0,0.5,0,207,366,76561198341938641
1151380,211540566,"Great Game, Devs did a good job and actually listen to the players on the discord",True,1764379427,4,0,0.537195503711700439,0,207,735,76561199050812011
1151380,212815341,"Only 3 hours in, but I love this game. Very immersive, and plenty to do. Does need a few things tweaked, but overall it is great. Excited to see what is in development to get released.",True,1765150655,0,0,0.5,0,228,256,76561198186666746
