appid,recommendationid,review_text,voted_up,timestamp_created,votes_up,votes_funny,weighted_vote_score,comment_count,playtime_at_review_minutes,playtime_forever_minutes,steamid
298110,212563785,Игра хорошая стоит своих денег даже без скидки советую,True,1764874313,0,0,0.5,0,23,133,76561198794756418
298110,198096884,i hate grass,True,1750841018,0,0,0.495301485061645508,0,364,808,76561199471492634
298110,191226754,"8/10. Overall its the same experience as in Far Cry 3. Some things are better, some worse. The gameplay, guns, interface, transport (especially the little helicopter. Absolutely amazing) are better in this game but the story is less interesting and the characters less charismatic.",True,1742998900,0,0,0.5,0,727,852,76561199014457454
298110,212644490,playeble game,True,1764971095,0,0,0.5,0,730,740,76561198779939640
298110,190336286,great game. personally its my favorite far cry.,True,1742109758,0,0,0.5,0,558,1873,76561199188178170
298110,195469897,"The greatest game there is with stunning graphics, scenerey and a deep storyline wich make it even better.",True,1748003286,0,0,0.5,0,532,869,76561199756847408
298110,199519027,jos,True,1752221587,0,0,0.5,0,489,550,76561199514150103
298110,202176998,"Beautiful Graphics
Low System Requirement
A story reminiscent of Rambo II",True,1755260211,1,0,0.523809552192687988,0,232,369,76561198886911054
298110,212370007,"this is personally the best Far Cry for me. Nothing much to say about it besides its a great game. If you like exploring, adventure and some chaos, this is what you should get. I got all DLCs for 9 euro on november sale and they're all PEAK. 10/10 game.",True,1764630795,0,0,0.5,0,372,1009,76561198780650949
298110,205876376,"Far Cry 4 was an amazing experience when it came out. The Himalayan setting felt alive, Pagan Min was an unforgettable villain, and the freedom to tackle missions any way I wanted kept it fresh. From riding elephants into outposts to flying gyrocopters across mountains, it was pure chaotic fun.I still enjoy it.",True,1759599077,0,0,0.5,0,119,1614,76561198323269755
298110,205165820,good game,True,1758808013,0,0,0.5,0,292,472,76561199220095096
298110,205171240,Great story line and along with that one of the best graphics.,True,1758813009,0,0,0.476961791515350342,0,268,3665,76561199090692073
298110,205165217,nice game,True,1758807379,0,0,0.5,0,738,2604,76561199545671686
298110,204938791,nice game,True,1758537945,0,0,0.5,0,734,1688,76561199828858696
298110,200503804,i LOVE FAR CRY 4,True,1753345463,0,0,0.5,0,505,706,76561199863843366
298110,207197067,Motherf$$$g skunk!!! 12/12!,True,1760993704,0,0,0.5,0,273,329,76561198146273761
298110,212370418,Really fun game.,True,1764631265,0,0,0.5,0,438,1868,76561199819144038
298110,199515102,it good,True,1752216381,0,0,0.5,0,444,576,76561199816022955
298110,197649101,fun,True,1750366518,0,0,0.474452555179595947,0,356,357,76561199207393914
298110,198181395,fuck uplay bro,True,1750938874,0,0,0.5,0,9,408,76561199722453256
298110,190830299,game gud,True,1742587619,0,0,0.5,0,238,260,76561198137320424
298110,190654625,,True,1742415424,0,0,0.5,0,186,409,76561199830743693
298110,205778932,"me and brother played this on hardest difficulty no hud, worth to buy if you have someone to play with, really fun",True,1759504651,0,0,0.5,0,418,494,76561198063285956
298110,205137620,El mejor juego de la puta historia y me lo chupan los gordos Far Cry 3,True,1758766737,0,0,0.5,0,571,1811,76561198237486776
298110,203372923,E5ETRGGT,True,1756801749,0,0,0.5,0,179,229,76561199823169612
298110,193439952,flipity pop,True,1745446234,0,0,0.5,0,216,2739,76561199520517429
298110,208219716,the grind is real,True,1762084981,0,0,0.5,0,763,3012,76561199512510339
298110,198310630,"Almost exactly like far cry 3, thats a good thing tho. Far cry 3 except bigger.",True,1751064492,0,0,0.5,0,554,3511,76561199509047212
298110,190657104,gud,True,1742417650,0,0,0.5,0,239,1081,76561199207337502
298110,190036362,amazing setting,True,1741804030,0,0,0.5,0,495,887,76561199119704037
298110,212631350,Good ol days,True,1764958483,0,0,0.5,0,405,817,76561199552116479
298110,195578667,"bv.jcvhsDJFhsnvosdlkvcjsdivdsl lnoidjdnsijadsdljakjv
jhkhvdsgfvjdsuhvuhsdfv
]
jhsdgufhfh jhjfhoywohhgf yuyur/",True,1748122570,0,0,0.5,0,658,906,76561198998339135
298110,202115297,gg,True,1755183198,0,0,0.5,0,194,296,76561198408283500
298110,198667825,"Far Cry 3 may be considered by many the ""peak"" of the Far Cry series, but in my opinion this is the one that takes the cake.

Pagan Min is such an incredible character, I just wish he had more screen time",True,1751394410,0,0,0.5,0,808,808,76561198252682734
298110,200108407,nepal,True,1752871469,0,0,0.484793692827224731,0,452,452,76561199104267182
298110,206052473,the game is worth playing,True,1759770070,0,0,0.5,0,111,1448,76561199658323797
298110,192122602,09/10,True,1743933334,0,0,0.5,0,698,741,76561198248442864
298110,191266426,One of the best Far Cry games now with steam achievements.,True,1743038314,1,0,0.503535211086273193,0,203,283,76561197995749775
298110,193624775,ini gw ga tau ubisoft bisa bahasa indonesia apa nggak tapi tolong ini kenapa ga mau di launching game nya oi. udah seminggu cuma running doang,True,1745671442,0,0,0.5,0,633,681,76561199808994789
298110,212802078,Great game,True,1765137064,0,0,0.5,0,701,701,76561199692545416
298110,208946513,nice game,True,1762857386,0,0,0.5,0,185,380,76561198808316514
298110,192887505,"just as good as i remember back in the days, best far cry game 100%",True,1744829018,0,0,0.5,0,640,1409,76561198218962551
